ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1415663102.86509,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,109141,104587,104556,834,234266
1415663102.86509,pg_catalog,pg_type,pg_type_typname_nsp_index,11435,8732,8237,2267,29569
1415663102.86509,pg_catalog,pg_type,pg_type_oid_index,433607,432451,432451,574,867042
1415663102.86509,pg_toast,pg_toast_2619,pg_toast_2619_index,77996,261045,261045,278,90828
1415663102.86509,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_2618,pg_toast_2618_index,2168,7032,7032,579,2701
1415663102.86509,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_authid,pg_authid_oid_index,19555,19555,19555,140,38970
1415663102.86509,pg_catalog,pg_authid,pg_authid_rolname_index,19380,19380,19380,146,38614
1415663102.86509,public,nation,pk_nation,0,0,0,0,0
1415663102.86509,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,24210,108817,108817,2763,67944
1415663102.86509,pg_catalog,pg_proc,pg_proc_oid_index,152117,152117,152117,1437,321588
1415663102.86509,pg_catalog,pg_class,pg_class_relname_nsp_index,72783,38409,37969,570,166882
1415663102.86509,pg_catalog,pg_class,pg_class_oid_index,439942,438944,438944,238,854668
1415663102.86509,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,399264,884349,884248,1319,825489
1415663102.86509,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,541,541,541,900,8656
1415663102.86509,pg_catalog,pg_constraint,pg_constraint_oid_index,146,72,72,20,347
1415663102.86509,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,20,129
1415663102.86509,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,20,129
1415663102.86509,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,20,129
1415663102.86509,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,573,0,0,281,292
1415663102.86509,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,68089,663430,663430,703,149906
1415663102.86509,pg_catalog,pg_operator,pg_operator_oid_index,80642,80642,80642,830,175015
1415663102.86509,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_opclass,pg_opclass_oid_index,86422,86422,86422,128,106180
1415663102.86509,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,29697,1164537,1164537,448,37632
1415663102.86509,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_amop,pg_amop_opr_fam_index,70410,148604,148604,627,154011
1415663102.86509,pg_catalog,pg_amop,pg_amop_fam_strat_index,101912,101912,101912,435,213012
1415663102.86509,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,85365,126903,126903,188,190428
1415663102.86509,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,10188,10188,10188,666,17134
1415663102.86509,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,4718,4396,4074,745,7325
1415663102.86509,pg_catalog,pg_rewrite,pg_rewrite_oid_index,966,644,644,434,1188
1415663102.86509,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_description,pg_description_o_c_o_index,2517,0,0,763,4844
1415663102.86509,pg_catalog,pg_database,pg_database_oid_index,30336,30335,30335,129,50647
1415663102.86509,pg_catalog,pg_database,pg_database_datname_index,39801,39800,39800,128,60075
1415663102.86509,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_namespace,pg_namespace_oid_index,51866,51842,51842,1314,53246
1415663102.86509,pg_catalog,pg_namespace,pg_namespace_nspname_index,54090,34764,34764,143,73273
1415663102.86509,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_depend,pg_depend_reference_index,18512,20174,16936,4078,42959
1415663102.86509,pg_catalog,pg_depend,pg_depend_depender_index,5344,8704,8704,2021,18729
1415663102.86509,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,61317,0,0,64,61253
1415663102.86509,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_tablespace,pg_tablespace_oid_index,14146,14146,14146,170,28122
1415663102.86509,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_shdepend,pg_shdepend_reference_index,608,608,608,547,645
1415663102.86509,pg_catalog,pg_shdepend,pg_shdepend_depender_index,2518,0,0,522,2570
1415663102.86509,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,2332,0,0,241,2091
1415663102.86509,pg_catalog,pg_seclabel,pg_seclabel_object_index,2517,0,0,241,2276
1415663102.86509,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_range,pg_range_rngtypid_index,4517,0,0,689,8345
1415663102.86509,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_11595,pg_toast_11595_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_11600,pg_toast_11600_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_11605,pg_toast_11605_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_11610,pg_toast_11610_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_11615,pg_toast_11615_index,0,0,0,0,0
1415663102.86509,pg_toast,pg_toast_11620,pg_toast_11620_index,0,0,0,0,0
1415663102.86509,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
