ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1415664048.88089,public,part,9,12000000,26,26,2000000,0,0,0,2000000,0,79007,327741,6,80,,,,
1415664048.88089,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_operator,0,0,149457,745972,0,0,0,0,0,0,1714,526067,1542,326566,,,,
1415664048.88089,pg_catalog,pg_aggregate,0,0,10234,10234,0,0,0,0,0,0,256,9978,668,17216,,,,
1415664048.88089,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_toast,pg_toast_11615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_description,0,0,2521,0,0,0,0,0,0,0,0,0,763,4853,0,0,0,0
1415664048.88089,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_toast,pg_toast_11620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415664048.88089,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_default_acl,0,0,2336,0,0,0,0,0,0,0,0,0,241,2095,,,,
1415664048.88089,pg_toast,pg_toast_11595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,pg_catalog,pg_attribute,1452,9636,404592,894862,3714,100,3536,85,2425,11,8129,434176,2253,844142,,,,
1415664048.88089,pg_catalog,pg_statistic,0,0,109970,105226,818,2364,755,1961,447,87,7604,104256,838,236149,20653,105316,280,91492
1415664048.88089,pg_toast,pg_toast_2618,0,0,2234,7246,0,0,0,0,0,0,1662,2233,581,2799,,,,
1415664048.88089,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,pg_catalog,pg_depend,0,0,24014,25800,4451,0,4361,0,6294,578,3931,30317,6111,62320,,,,
1415664048.88089,public,region,6,10,8,8,5,0,0,0,5,0,1,11,2,9,,,,
1415664048.88089,pg_toast,pg_toast_11605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_opclass,264,264,116972,1261204,0,0,0,0,0,0,154,449840,580,144923,,,,
1415664048.88089,pg_catalog,pg_proc,0,0,177905,263290,0,0,0,0,0,0,11694,185766,4222,392980,0,0,0,0
1415664048.88089,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415664048.88089,information_schema,sql_languages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,pg_catalog,pg_am,20486,20486,0,0,0,0,0,0,0,0,66,20420,0,0,,,,
1415664048.88089,pg_catalog,pg_largeobject_metadata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_ts_config_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_type,0,0,447322,442957,1158,0,1139,0,349,37,1866,446049,2847,901347,,,,
1415664048.88089,information_schema,sql_sizing_profiles,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,pg_catalog,pg_shdepend,0,0,3131,609,0,0,0,0,0,0,270,339,1069,3222,,,,
1415664048.88089,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_shdescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415664048.88089,pg_catalog,pg_tablespace,2,4,14252,14252,0,0,0,0,0,0,86,14168,172,28332,,,,
1415664048.88089,pg_catalog,pg_inherits,0,0,574,0,0,0,0,0,0,0,0,0,281,293,,,,
1415664048.88089,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_database,1675,6463,70811,70809,1,0,0,0,1,0,21,72464,261,111741,,,,
1415664048.88089,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,information_schema,sql_sizing,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,public,time_statistics,1,1,,,3,1,0,1,3,1,2,3,,,,,,
1415664048.88089,pg_catalog,pg_amproc,264,528,85973,127821,0,0,0,0,0,0,227,84018,191,191800,,,,
1415664048.88089,pg_catalog,pg_collation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_constraint,0,0,152,72,80,0,72,0,10,16,44,433,80,788,0,0,0,0
1415664048.88089,pg_catalog,pg_range,0,0,4519,0,0,0,0,0,0,0,0,0,691,8347,,,,
1415664048.88089,public,customer,9,9000000,28,28,1500000,0,0,0,1500000,0,68533,294885,6,86,,,,
1415664048.88089,pg_toast,pg_toast_11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_toast,pg_toast_11590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,public,lineitem,17,539874468,56,56,59986052,0,0,0,59986357,0,10838042,2424332,16,223,,,,
1415664048.88089,public,supplier,8,400000,40,40,100000,0,0,0,100000,0,2312,15688,4,83,,,,
1415664048.88089,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,pg_catalog,pg_user_mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_largeobject,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_namespace,1310,25196,108453,88955,24,0,0,0,24,0,107,90219,1459,129198,,,,
1415664048.88089,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415664048.88089,pg_catalog,pg_authid,622,622,39222,39222,0,0,0,0,0,0,71,39773,290,78154,,,,
1415664048.88089,pg_catalog,pg_index,3129,300696,195888,283757,441,0,413,0,138,39,1000,267438,397,227305,,,,
1415664048.88089,pg_catalog,pg_ts_dict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_class,7657,1644534,519677,483696,1025,323,987,309,326,60,2361,548633,817,1035887,,,,
1415664048.88089,public,partsupp,4,24000000,40,40,8000000,0,0,0,8000000,0,340611,954549,12,115,,,,
1415664048.88089,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415664048.88089,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
